Submission ID,Track,Keywords,Contributions,Languages
21,Dialogue and Interactive Systems,conversational modeling,publicly available software and pre-trained models,
23,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
25,"Language Grounding to Vision, Robotics, and Beyond",vision language navigation,data resources,
34,Machine Translation,modelling,nlp engineering experiment|approaches for low-resource settings,
35,Resources and Evaluation,benchmarking|nlp datasets|evaluation methodologies|evaluation,surveys,
44,NLP Applications,multimodal applications,nlp engineering experiment|model analysis & interpretability,
50,"Linguistic Theories, Cognitive Modeling, and Psycholinguistics",linguistic theories,theory,
51,NLP Applications,financial/business nlp,nlp engineering experiment,
52,NLP Applications,knowledge graphs,"nlp engineering experiment|approaches for low-compute settings, efficiency|approaches for low-resource settings|data analysis",
57,Question Answering,knowledge base qa,nlp engineering experiment,
60,Machine Learning for NLP,model compression methods,"model analysis & interpretability|approaches for low-compute settings, efficiency",
63,NLP Applications,multimodal applications,nlp engineering experiment|model analysis & interpretability,
64,Information Extraction,document-level extraction,nlp engineering experiment|model analysis & interpretability|data resources,
67,Information Retrieval and Text Mining,passage retrieval|dense retrieval|document representation|re-ranking|contrastive learning,nlp engineering experiment,
68,Information Extraction,named entity recognition and relation extraction,nlp engineering experiment,
69,"Phonology, Morphology, and Word Segmentation",morphological analysis,approaches for low-resource settings|data resources,
76,Summarization,few-shot summarisation,approaches for low-resource settings|publicly available software and pre-trained models|data resources,
85,Summarization,multilingual summarisation,approaches for low-resource settings|data resources|data analysis,mandarin|french
88,Information Extraction,document-level extraction,approaches for low-resource settings|data resources,
91,Large Language Models,prompting,surveys,
98,Information Retrieval and Text Mining,passage retrieval,nlp engineering experiment,
104,"Phonology, Morphology, and Word Segmentation",,model analysis & interpretability,chinese
106,"Sentiment Analysis, Stylistic Analysis, and Argument Mining",style analysis,nlp engineering experiment|model analysis & interpretability,
110,Generation,text-to-text generation|model architectures,nlp engineering experiment|publicly available software and pre-trained models|data resources,
