UID,title,authors,abstract,keywords,track,paper_type,pdf_url,demo_url,material
demo.102,"The Language Interpretability Tool: Extensible, Interactive Visualizations and Analysis for NLP Models",Ian Tenney|James Wexler|Jasmijn Bastings|Tolga Bolukbasi|Andy Coenen|Sebastian Gehrmann|Ellen Jiang|Mahima Pushkarna|Carey Radebaugh|Emily Reif|Ann Yuan,"We present the Language Interpretability Tool (LIT), an open-source platform for visualization and understanding of NLP models. We focus on core questions about model behavior: Why did my model make this prediction? When does it perform poorly? What happens under a controlled change in the input? LIT integrates local explanations, aggregate analysis, and counterfactual generation into a streamlined, browser-based interface to enable rapid exploration and error analysis. We include case studies for a diverse set of workflows, including exploring counterfactuals for sentiment analysis, measuring gender bias in coreference systems, and exploring local behavior in text generation. LIT supports a wide range of models---including classification, seq2seq, and structured prediction---and is highly extensible through a declarative, framework-agnostic API. LIT is under active development, with code and full documentation available at https://github.com/pair-code/lit.",visualization models|counterfactual generation|rapid exploration|rapid analysis,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.15,,[Language Interpretability Tool website](https://pair-code.github.io/lit)
demo.104,"TextAttack: A Framework for Adversarial Attacks, Data Augmentation, and Adversarial Training in NLP",John Morris|Eli Lifland|Jin Yong Yoo|Jake Grigsby|Di Jin|Yanjun Qi,"While there has been substantial research using adversarial attacks to analyze NLP models, each attack is implemented in its own code repository. It remains challenging to develop NLP attacks and utilize them to improve model performance. This paper introduces TextAttack, a Python framework for adversarial attacks, data augmentation, and adversarial training in NLP. TextAttack builds attacks from four components: a goal function, a set of constraints, a transformation, and a search method. TextAttack’s modular design enables researchers to easily construct attacks from combinations of novel and existing components. TextAttack provides implementations of 16  adversarial attacks  from the literature and supports a variety of models and datasets, including BERT and other transformers, and all GLUE tasks. TextAttack also includes data augmentation and adversarial training modules for using components of adversarial attacks to improve model accuracy and robustness.TextAttack is democratizing NLP: anyone can try data augmentation and adversarial training on any model or dataset, with just a few lines of code. Code and tutorials are available at https://github.com/QData/TextAttack.",adversarial attacks|data augmentation|adversarial nlp|glue tasks,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.16,,
demo.107,"Easy, Reproducible and Quality-Controlled Data Collection with CROWDAQ",Qiang Ning|Hao Wu|Pradeep Dasigi|Dheeru Dua|Matt Gardner|Robert L Logan IV|Ana Marasović|Zhen Nie,"High-quality and large-scale data are key to success for AI systems. However, large-scale data annotation efforts are often confronted with a set of common challenges: (1) designing a user-friendly annotation interface; (2) training enough annotators efficiently; and (3) reproducibility. To address these problems, we introduce CROWDAQ, an open-source platform that standardizes the data collection pipeline with customizable user-interface components, automated annotator qualification, and saved pipelines in a re-usable format. We show that CROWDAQ simplifies data annotation significantly on a diverse set of data collection use cases and we hope it will be a convenient tool for the community.",ai systems|automated qualification|data annotation|crowdaq,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.17,,
demo.109,SciSight: Combining faceted navigation and research group detection for COVID-19 exploratory scientific search,Tom Hope|Jason Portenoy|Kishore Vasan|Jonathan Borchardt|Eric Horvitz|Daniel Weld|Marti Hearst|Jevin West,"The COVID-19 pandemic has sparked unprecedented mobilization of scientists, generating a deluge of papers that makes it hard for researchers to keep track and explore new directions. Search engines are designed for targeted queries, not for discovery of connections across a corpus. In this paper, we present SciSight, a system for exploratory search of COVID-19 research integrating two key capabilities: first, exploring associations between biomedical facets automatically extracted from papers (e.g., genes, drugs, diseases, patient outcomes); second, combining textual and network information to search and visualize groups of researchers and their ties. SciSight has so far served over 15K users with over 42K page views and 13\% returns.",targeted queries|discovery connections|exploratory research|scisight,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.18,,
demo.111,SIMULEVAL: An Evaluation Toolkit for Simultaneous Translation,Xutai Ma|Mohammad Javad Dousti|Changhan Wang|Jiatao Gu|Juan Pino,"Simultaneous translation on both text and speech focuses on a real-time and low-latency scenario where the model starts translating before reading the complete source input. Evaluating simultaneous translation models is more complex than offline models because the latency is another factor to consider in addition to translation quality. The research community, despite its growing focus on novel modeling approaches to simultaneous translation, currently lacks a universal evaluation procedure. Therefore, we present SimulEval, an easy-to-use and general evaluation toolkit for both simultaneous text and speech translation. A server-client scheme is introduced to create a simultaneous translation scenario, where the server sends source input and receives predictions for evaluation and the client executes customized policies. Given a policy, it automatically performs simultaneous decoding and collectively reports several popular latency metrics. We also adapt latency metrics from text simultaneous translation to the speech task. Additionally, SimulEval is equipped with a visualization interface to provide better understanding of the simultaneous decoding process of a system. SimulEval has already been extensively used for the IWSLT 2020 shared task on simultaneous speech translation. Code will be released upon publication.",simultaneous translation|real-time scenario|evaluating models|simultaneous scenario,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.19,,
demo.116,Agent Assist through Conversation Analysis,Kshitij Fadnis|Nathaniel Mills|Jatin Ganhotra|Haggai Roitman|Gaurav Pandey|Doron Cohen|Yosi Mass|Shai Erera|Chulaka Gunasekara|Danish Contractor|Siva Patel|Q. Vera Liao|Sachindra Joshi|Luis Lastras|David Konopnicki,"Customer support agents play a crucial role as an interface between an organization and its end-users. We propose CAIRAA: Conversational Approach to Information Retrieval for Agent Assistance, to reduce the cognitive workload of support agents who engage with users through conversation systems. CAIRAA monitors an evolving conversation and recommends both responses and URLs of documents the agent can use in replies to their client. We combine traditional information retrieval (IR) approaches with more recent Deep Learning (DL) models to ensure high accuracy and efficient run-time performance in the deployed system. Here, we describe the CAIRAA system and demonstrate its effectiveness in a pilot study via a short video.",information retrieval|agent assistance|run-time|customer agents,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.20,,
demo.118,NeuSpell: A Neural Spelling Correction Toolkit,Sai Muralidhar Jayanthi|Danish Pruthi|Graham Neubig,"We introduce NeuSpell, an open-source toolkit for spelling correction in English. Our toolkit comprises ten different models, and benchmarks them on naturally occurring misspellings from multiple sources. We find that many systems do not adequately leverage the context around the misspelt token. To remedy this, (i) we train neural models using spelling errors in context, synthetically constructed by reverse engineering isolated misspellings; and (ii) use richer representations of the context. By training on our synthetic examples, correction rates improve by 9% (absolute) compared to the case when models are trained on randomly sampled character perturbations. Using richer contextual representations boosts the correction rate by another 3%. Our toolkit enables practitioners to use our proposed and existing spelling correction systems, both via a simple unified command line, as well as a web interface. Among many potential applications, we demonstrate the utility of our spell-checkers in combating adversarial misspellings. The toolkit can be accessed at neuspell.github.io.",spelling correction|spell-checkers|neuspell|open-source toolkit,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.21,,
demo.119,LibKGE - A knowledge graph embedding library for reproducible research,Samuel Broscheit|Daniel Ruffinelli|Adrian Kochsiek|Patrick Betz|Rainer Gemulla,"LibKGE ( https://github.com/uma-pi1/kge )  is an open-source PyTorch-based library for training, hyperparameter optimization, and evaluation of knowledge graph embedding models for link prediction. The key goals of LibKGE are to enable reproducible research, to provide a framework for comprehensive experimental studies, and to facilitate analyzing the contributions of individual components of training methods, model architectures, and evaluation methods. LibKGE is highly configurable and every experiment can be fully reproduced with a single configuration file. Individual components are decoupled to the extent possible so that they can be mixed and matched with each other. Implementations in LibKGE aim to be as efficient as possible without leaving the scope of Python/Numpy/PyTorch. A comprehensive logging mechanism and tooling facilitates in-depth analysis. LibKGE provides implementations of common knowledge graph embedding models and training methods, and new ones can be easily added. A comparative study (Ruffinelli et al., 2020) showed that LibKGE reaches competitive to state-of-the-art performance for many models with a modest amount of automatic hyperparameter tuning.",training|hyperparameter optimization|link prediction|in-depth analysis,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.22,,
demo.123,WantWords: An Open-source Online Reverse Dictionary System,Fanchao Qi|Lei Zhang|Yanhui Yang|Zhiyuan Liu|Maosong Sun,"A reverse dictionary takes descriptions of words as input and outputs words semantically matching the input descriptions. Reverse dictionaries have great practical value such as solving the tip-of-the-tongue problem and helping new language learners. There have been some online reverse dictionary systems, but they support English reverse dictionary queries only and their performance is far from perfect. In this paper, we present a new open-source online reverse dictionary system named WantWords (https://wantwords.thunlp.org/). It not only significantly outperforms other reverse dictionary systems on English reverse dictionary performance, but also supports Chinese and English-Chinese as well as Chinese-English cross-lingual reverse dictionary queries for the first time. Moreover, it has user-friendly front-end design which can help users find the words they need quickly and easily. All the code and data are available at https://github.com/thunlp/WantWords.",english dictionary|reverse dictionaries|language learners|online systems,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.23,,[Online System](https://wantwords.thunlp.org/)
demo.124,BENNERD: A Neural Named Entity Linking System for COVID-19,Mohammad Golam Sohrab|Khoa Duong|Makoto Miwa|Goran Topic|Ikeda Masami|Takamura Hiroya,"We present a biomedical entity linking (EL) system BENNERD that detects named enti- ties in text and links them to the unified medical language system (UMLS) knowledge base (KB) entries to facilitate the corona virus disease 2019 (COVID-19) research. BEN- NERD mainly covers biomedical domain, es- pecially new entity types (e.g., coronavirus, vi- ral proteins, immune responses) by address- ing CORD-NER dataset. It includes several NLP tools to process biomedical texts includ- ing tokenization, flat and nested entity recog- nition, and candidate generation and rank- ing for EL that have been pre-trained using the CORD-NER corpus. To the best of our knowledge, this is the first attempt that ad- dresses NER and EL on COVID-19-related entities, such as COVID-19 virus, potential vaccines, and spreading mechanism, that may benefit research on COVID-19. We release an online system to enable real-time entity annotation with linking for end users. We also release the manually annotated test set and CORD-NERD dataset for leveraging EL task. The BENNERD system is available at https://aistairc.github.io/BENNERD/.",corona research|flat recog-|flat nition|candidate generation,System Demonstrations,demo,https://www.aclweb.org/anthology/2020.emnlp-demos.24,,[BENNERD web page](https://aistairc.github.io/BENNERD/)
